apc,total_outpatient_visits
0634 - Hospital Clinic Visits,23867894
0269 - Level I Echocardiogram Without Contrast,1831517
0267 - Level III Diagnostic and Screening Ultrasound,1456880
0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,1024061
0377 - Level II Cardiac Imaging,737426
0207 - Level III Nerve Injections,718401
0690 - Level I Electronic Analysis of Devices,676761
0015 - Level II Debridement & Destruction,657708
0265 - Level I Diagnostic and Screening Ultrasound,555419
0632 - Level 2 Examinations & Related Services,461860
0204 - Level I Nerve Injections,369279
0369 - Level II Pulmonary Tests,285151
0231 - Level III Eye Tests & Treatments,108696
0270 - Level II Echocardiogram Without Contrast,95637
0012 - Level I Debridement & Destruction,75659
0020 - Level II Excision/ Biopsy,62688
0203 - Level IV Nerve Injections,53249
0206 - Level II Nerve Injections,52423
0631 - Level 1 Examinations & Related Services,52200
0698 - Level II Eye Tests & Treatments,43104
0692 - Level II Electronic Analysis of Devices,33444
0019 - Level I Excision/ Biopsy,13769
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",11356
0096 - Level II Noninvasive Physiologic Studies,9990
0074 - Level IV Endoscopy Upper Airway,8131
0073 - Level III Endoscopy Upper Airway,7381
0633 - Level 3 Examinations & Related Services,2551
0017 - Level IV Debridement & Destruction,272
