apc,total_payments
0634 - Hospital Clinic Visits,2292749147.4
0377 - Level II Cardiac Imaging,803495151.63
0269 - Level I Echocardiogram Without Contrast,749503371.83
0207 - Level III Nerve Injections,426799178.44
0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,284040825.37
0267 - Level III Diagnostic and Screening Ultrasound,259046900.05
0015 - Level II Debridement & Destruction,88187257.38
0204 - Level I Nerve Injections,72070365.73
0203 - Level IV Nerve Injections,66530697.2
0369 - Level II Pulmonary Tests,65382660.22
0270 - Level II Echocardiogram Without Contrast,55328426.31
0020 - Level II Excision/ Biopsy,50281340.71
0632 - Level 2 Examinations & Related Services,49860258.68
0265 - Level I Diagnostic and Screening Ultrasound,49675626.51
0231 - Level III Eye Tests & Treatments,34682266.34
0690 - Level I Electronic Analysis of Devices,23463313.05
0206 - Level II Nerve Injections,19484885.16
0074 - Level IV Endoscopy Upper Airway,15762852.57
0073 - Level III Endoscopy Upper Airway,8580833.18
0012 - Level I Debridement & Destruction,6675344.36
0019 - Level I Excision/ Biopsy,4839318.54
0698 - Level II Eye Tests & Treatments,4236688.49
0692 - Level II Electronic Analysis of Devices,4134958.9
0096 - Level II Noninvasive Physiologic Studies,3125550.22
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",2481655.07
0631 - Level 1 Examinations & Related Services,2422752.09
0633 - Level 3 Examinations & Related Services,958964.3
0017 - Level IV Debridement & Destruction,384631.87
