provider_state,avg_payment,avg_payment_rank,estimated_total_payments,total_payment_rank,total_services
CA,471.67,3,397017233.58,1,2086896
NY,395.26,14,282081143.08,2,1865023
IL,376.92,23,278783983.12,3,1705784
OH,367.33,30,275928340.56,4,1837035
TX,360.82,39,274414589.37,5,1673861
MA,477.5,1,273202234.97,6,1641023
MI,367.12,31,244511758.37,7,1662316
PA,367.48,29,238404660.63,8,1342844
FL,368.77,28,199895114.26,9,1205193
NC,370.09,26,176134203.93,10,1216883
VA,383.0,20,166985156.75,11,1177516
WA,420.42,7,157781044.4,12,1069578
MO,384.51,18,152307309.48,13,897478
WI,366.21,32,147576819.92,14,1066966
MN,392.45,15,143949408.71,15,976060
NJ,445.1,4,141104044.3,16,478376
IN,375.67,25,124853504.25,17,616115
GA,357.23,42,123587981.09,18,633168
OK,347.6,45,94288222.97,19,466064
TN,348.12,44,91880507.74,20,405436
KY,364.57,33,88775942.11,21,461703
ME,369.32,27,86694331.35,22,733356
CT,437.9,5,79699062.75,23,424926
LA,329.6,49,76699998.06,24,526847
AR,340.34,46,75110717.81,25,430770
NH,384.28,19,74016561.54,26,546566
SC,359.69,41,71313715.46,27,372300
AL,339.69,47,69308048.24,28,320098
IA,363.16,35,68284762.38,29,467423
CO,363.32,34,64208166.89,30,371370
KS,360.92,38,58571795.06,31,298246
OR,359.79,40,58215953.62,32,378144
ND,416.43,9,54450212.99,33,449729
SD,375.86,24,53345813.62,34,381403
AZ,403.29,11,51918225.91,35,287930
WV,361.5,37,51676996.28,36,334913
ID,335.9,48,47080753.05,37,376163
MS,319.86,50,46974976.74,38,274085
MT,348.19,43,43497201.24,39,344555
NM,384.55,17,37154629.33,40,276723
UT,361.7,36,37127638.07,41,228714
VT,377.75,22,33921698.74,42,263415
NE,395.61,13,27978992.21,43,118070
DE,416.85,8,24639368.92,44,160591
NV,472.2,2,19497637.39,45,69602
RI,406.52,10,18014379.52,46,108357
HI,431.0,6,14833599.67,47,89217
DC,399.05,12,14409943.84,48,106524
WY,390.17,16,6402609.57,49,18141
AK,382.53,21,5674227.76,50,29411
