provider_payment_rank,provider_id,provider_name,provider_city,provider_state,estimated_total_payments,total_services,avg_payment
1,360180,Cleveland Clinic,Cleveland,OH,54990709.43,464815,405.57
2,140010,Evanston Hospital,Evanston,IL,36947803.03,301476,444.43
3,050573,Eisenhower Medical Center,Rancho Mirage,CA,33797640.18,231992,397.2
4,450054,Scott & White Medical Center - Temple,Temple,TX,33553549.07,321272,440.48
5,220171,"Lahey Hospital & Medical Center, Burlington",Burlington,MA,28686734.77,211892,513.07
6,050441,Stanford Health Care,Stanford,CA,27724443.55,156722,617.1
7,230046,University Of Michigan Health System,Ann Arbor,MI,27590245.6,237838,465.33
8,220071,Massachusetts General Hospital,Boston,MA,23400267.12,151732,532.99
9,050454,Ucsf Medical Center,San Francisco,CA,21871554.9,137918,626.17
10,050599,University Of California Davis Medical Center,Sacramento,CA,20638190.55,126277,576.17
11,070022,Yale-New Haven Hospital,New Haven,CT,19178503.45,124085,522.79
12,060024,University Of Colorado Hospital Authority,Aurora,CO,18957992.95,157977,437.12
13,220163,Umass Memorial Medical Center Inc,Worcester,MA,18680004.02,139239,461.12
14,390111,Hospital Of Univ Of Pennsylvania,Philadelphia,PA,18412326.76,150776,422.08
15,230053,Henry Ford Hospital,Detroit,MI,18328609.36,170788,407.88
16,140276,Loyola University Medical Center,Maywood,IL,18164188.64,154394,383.35
17,450102,Mother Frances Hospital,Tyler,TX,18148233.26,150096,384.77
18,370215,Oklahoma Heart Hospital,Oklahoma City,OK,17611618.19,115376,352.04
19,490009,University Of Virginia Medical Center,Charlottesville,VA,17359571.79,163321,423.56
20,190036,Ochsner Medical Center,New Orleans,LA,17221974.22,164877,398.33
21,100073,Holy Cross Hospital,Fort Lauderdale,FL,16839587.97,131175,359.62
22,220031,Boston Medical Center Corporation-,Boston,MA,16624766.71,131149,520.02
23,050625,Cedars-Sinai Medical Center,Los Angeles,CA,16450768.03,88180,558.39
24,220086,Beth Israel Deaconess Medical Center,Boston,MA,16372895.7,118114,523.96
25,430027,Sanford Usd Medical Center,Sioux Falls,SD,16280649.97,133541,418.1
26,470003,University Of Vermont Medical Center,Burlington,VT,16115855.74,127001,459.45
27,220110,Brigham And Women's Hospital,Boston,MA,16085388.9,111333,525.42
28,300003,Mary Hitchcock Memorial Hospital,Lebanon,NH,15894611.15,119075,497.25
29,350011,Sanford Medical Center Fargo,Fargo,ND,15885475.69,145189,369.01
30,520098,University Of Wi  Hospitals & Clinics Authority,Madison,WI,15550069.99,129546,441.05
31,340030,Duke University Hospital,Durham,NC,15344092.52,124060,437.04
32,460009,University Health Care/Univ Hospitals And  Clinics,Salt Lake City,UT,15051801.61,129416,407.49
33,080001,"Christiana Care Health Services, Inc.",Newark,DE,14864237.08,115294,385.34
34,310015,Morristown Medical Center,Morristown,NJ,14708066.11,40258,570.16
35,130006,St Luke's Regional Medical Center,Boise,ID,14402625.62,129452,311.15
36,490052,Riverside Regional Medical Center,Newport News,VA,13669764.02,110593,442.1
37,170040,University Of Kansas Hospital,Kansas City,KS,13562453.0,91941,426.45
38,340014,Novant Health Forsyth Medical Center,Winston-Salem,NC,13283711.63,131990,280.24
39,330136,Mary Imogene Bassett Hospital,Cooperstown,NY,12817222.69,111513,446.29
40,200009,Maine Medical Center,Portland,ME,12669622.2,102873,453.07
41,320021,Presbyterian Hospital,Albuquerque,NM,12629060.97,108643,407.26
42,160058,University Of Iowa Hospital & Clinics,Iowa City,IA,12560477.78,105307,424.71
43,140088,The University Of Chicago Medical Center,Chicago,IL,12556967.81,109885,448.93
44,440039,Vanderbilt University Hospital,Nashville,TN,12524465.43,107728,376.84
45,500058,Kadlec Regional Medical Center,Richland,WA,12461074.37,92314,493.25
46,670034,Scott & White Hospital-Round Rock,Round Rock,TX,12387746.04,116425,347.71
47,380009,Ohsu Hospital And Clinics,Portland,OR,12384533.89,92264,473.78
48,520177,Froedtert Memorial Lutheran Hospital,Milwaukee,WI,12286943.26,102027,415.03
49,050348,University Of California Irvine Med Center,Orange,CA,12203324.55,97332,541.97
50,300012,Elliot Hospital,Manchester,NH,12174564.25,88965,381.33
51,490024,Carilion Roanoke Memorial Hospital,Roanoke,VA,12100278.15,102015,449.16
52,270004,Billings Clinic Hospital,Billings,MT,12060812.72,98978,376.51
53,260006,Mosaic Life Care At St Joseph,Saint Joseph,MO,11980655.72,104030,433.34
54,230130,"Beaumont Hospital, Royal Oak",Royal Oak,MI,11966896.01,62352,404.84
55,010033,University Of Alabama Hospital,Birmingham,AL,11941433.5,95955,466.89
56,200033,Eastern Maine Medical Center,Bangor,ME,11823222.16,97392,423.02
57,340047,North Carolina Baptist Hospital,Winston-Salem,NC,11783704.71,108212,426.65
58,390006,Geisinger Medical Center,Danville,PA,11583565.22,100427,385.22
59,450018,University Of Texas Medical Branch,Galveston,TX,11512323.15,108365,340.62
60,390256,Milton S Hershey Medical Center,Hershey,PA,11423369.84,105557,397.0
61,050335,Sonora Regional Medical Center,Sonora,CA,11321613.6,69041,604.92
62,050262,Ronald Reagan U C L A Medical Center,Los Angeles,CA,11215039.57,79340,505.71
63,100025,Sacred Heart Hospital,Pensacola,FL,11207880.64,112641,415.55
64,050696,Keck Hospital Of Usc,Los Angeles,CA,11110924.61,74254,553.01
65,240019,Essentia Health Duluth,Duluth,MN,11018248.92,100028,394.17
66,330214,Nyu Hospitals Center,New York,NY,10744924.87,37297,547.88
67,160064,Mercy Medical Center-North Iowa,Mason City,IA,10679856.54,96523,323.75
68,330059,Montefiore Medical Center,Bronx,NY,10395142.4,77097,527.69
69,250019,Memorial Hospital At Gulfport,Gulfport,MS,10267303.99,102718,300.59
70,180088,Norton Hospital/Norton Medical Pavilions/Kosair Ch,Louisville,KY,10258931.82,44264,438.3
71,220046,Berkshire Medical Center Inc,Pittsfield,MA,10230419.58,60969,505.07
72,340113,Carolinas Medical Center/Behav Health,Charlotte,NC,10125402.38,84847,413.51
73,050025,University Of California San Diego Medical Center,San Diego,CA,9981515.63,56987,531.81
74,350019,Altru Hospital,Grand Forks,ND,9973382.3,81509,443.05
75,230019,Providence - Providence Park Hospital,Southfield,MI,9792890.82,68000,423.79
76,220116,Tufts Medical Center,Boston,MA,9704212.41,69886,529.21
77,140091,The Carle Foundation Hospital,Urbana,IL,9653102.32,82762,381.19
78,360059,Metrohealth System,Cleveland,OH,9648950.84,92011,408.18
79,360147,Marietta Memorial Hospital,Marietta,OH,9642403.52,76024,334.01
80,220075,Massachusetts Eye And Ear Infirmary,Boston,MA,9580128.2,59761,501.05
81,490032,Medical College Of Virginia Hospitals,Richmond,VA,9542442.21,85258,384.15
82,240043,Mayo Clinic Health System - Albert Lea,Albert Lea,MN,9435048.25,86346,370.08
83,330101,New York-Presbyterian Hospital,New York,NY,9407033.2,63614,499.86
